Model,Accuracy,Precision Score,Recall,F1 Score
Logistic Regression,0.9476923076923077,0.9439490445859873,0.9475703324808185,0.9457562220804084
Random Forest,1.0,1.0,1.0,1.0
Naive Bayes,0.9218461538461539,0.9098873591989988,0.9296675191815856,0.9196710942441493
Decision Tree,1.0,1.0,1.0,1.0
